Ticker,SetupDate,TriggerDate,FillDate,ExitDate,EntryPrice,ExitPrice,PnL_%,HoldingDays,Status,MaxPaperLoss_%,InitialMove_%
ICICIPRULI.NS,2021-04-19,2021-04-27,2022-03-08,2022-04-18,427.9913053486912,540.8599784676866,26.37,41,COMPLETED,-0.32,26.37
BAJAJFINSV.NS,2021-07-22,2021-07-30,2022-05-19,2022-07-28,1227.5414367432838,1489.5108922231302,21.34,70,COMPLETED,-12.76,21.34
BAJAJHLDNG.NS,2022-04-01,2022-04-11,2022-05-06,2022-09-08,4764.647472657612,6251.17254662989,31.2,125,COMPLETED,-14.61,31.17
BAJAJHLDNG.NS,2022-09-05,2022-09-12,N/A,N/A,5316.951716040363,N/A,0.0,0,PENDING,0.0,22.36
BAJAJHLDNG.NS,2024-12-26,2024-12-31,2025-01-10,2025-05-16,10840.441836846088,13146.249603311102,21.27,126,COMPLETED,-6.15,21.27
BAJAJHLDNG.NS,2025-05-14,2025-05-20,2025-11-19,N/A,11726.16074251248,10270.0,-12.42,194,OPEN,-26.76,21.95
BAJFINANCE.NS,2021-02-01,2021-02-08,2021-04-12,2021-05-04,457.11324028298816,551.2004032138053,20.58,22,COMPLETED,-6.53,20.58
BAJFINANCE.NS,2021-04-19,2021-05-05,N/A,N/A,427.28553148363966,N/A,0.0,0,PENDING,0.0,31.82
BAJAJ-AUTO.NS,2021-01-18,2021-01-29,2021-03-25,2021-05-27,3022.519117812281,3653.4538125773215,20.87,63,COMPLETED,-1.65,20.87
GILLETTE.NS,2024-10-28,2024-11-01,2025-02-13,2025-06-04,7830.876432155463,9719.606346836896,24.12,111,COMPLETED,-8.51,24.12
GILLETTE.NS,2025-02-18,2025-02-21,2026-03-30,N/A,7265.275959297365,7825.5,7.71,63,OPEN,-0.82,21.07
PFIZER.NS,2025-05-19,2025-06-06,N/A,N/A,4280.777596633351,N/A,0.0,0,PENDING,0.0,32.97
HAVELLS.NS,2025-04-07,2025-04-23,2025-12-10,N/A,1373.112377666657,1143.199951171875,-16.74,173,OPEN,-17.21,20.46
VOLTAS.NS,2021-08-27,2021-09-16,2022-05-12,2024-04-05,937.9868264158504,1223.352475029891,30.42,694,COMPLETED,-22.54,30.42
VOLTAS.NS,2025-02-01,2025-02-04,N/A,N/A,1128.69940828697,N/A,0.0,0,PENDING,0.0,23.93
SANOFI.NS,2021-08-23,2021-08-25,2022-01-25,2023-11-06,5628.93703662703,7207.126362537937,28.04,650,COMPLETED,-19.02,28.04
SANOFI.NS,2024-06-07,2024-06-14,2025-01-07,N/A,5620.1041080639525,3117.60009765625,-44.53,510,OPEN,-45.66,78.61
GLAXO.NS,2023-12-21,2024-01-08,N/A,N/A,1578.475588571325,N/A,0.0,0,PENDING,0.0,29.38
GLAXO.NS,2025-02-05,2025-02-10,N/A,N/A,1886.7466727314636,N/A,0.0,0,PENDING,0.0,20.61
GLAXO.NS,2025-02-14,2025-02-21,N/A,N/A,1894.4476866405475,N/A,0.0,0,PENDING,0.0,39.48
